t, y
5.32812, 2.63925e-194
5.34375, 7.14637e-195
5.35938, 1.93504e-195
5.375, 5.23958e-196
5.39062, 1.41874e-196
5.40625, 3.84155e-197
5.42188, 1.04019e-197
5.4375, 2.81655e-198
5.45312, 7.62645e-199
5.46875, 2.06504e-199
5.48438, 5.59156e-200
5.5, 1.51404e-200
5.51562, 4.09962e-201
5.53125, 1.11007e-201
5.54688, 3.00576e-202
5.5625, 8.13878e-203
5.57812, 2.20376e-203
5.59375, 5.96719e-204
5.60938, 1.61575e-204
5.625, 4.37502e-205
5.64062, 1.18464e-205
5.65625, 3.20768e-206
5.67188, 8.68552e-207
5.6875, 2.3518e-207
5.70312, 6.36805e-208
5.71875, 1.7243e-208
5.73438, 4.66893e-209
5.75, 1.26422e-209
5.76562, 3.42316e-210
5.78125, 9.269e-211
5.79688, 2.50979e-211
5.8125, 6.79584e-212
5.82812, 1.84013e-212
5.84375, 4.98257e-213
5.85938, 1.34915e-213
5.875, 3.65312e-214
5.89062, 9.89167e-215
5.90625, 2.6784e-215
5.92188, 7.25237e-216
5.9375, 1.96375e-216
5.95312, 5.31729e-217
5.96875, 1.43978e-217
5.98438, 3.89853e-218
6, 1.05562e-218
6.01562, 2.85832e-219
6.03125, 7.73957e-220
6.04688, 2.09567e-220
6.0625, 5.6745e-221
6.07812, 1.5365e-221
6.09375, 4.16043e-222
6.10938, 1.12653e-222
6.125, 3.05034e-223
6.14062, 8.2595e-224
6.15625, 2.23645e-224
6.17188, 6.0557e-225
6.1875, 1.63972e-225
6.20312, 4.43991e-226
6.21875, 1.20221e-226
6.23438, 3.25526e-227
6.25, 8.81435e-228
6.26562, 2.38669e-228
6.28125, 6.4625e-229
6.29688, 1.74987e-229
6.3125, 4.73818e-230
6.32812, 1.28297e-230
6.34375, 3.47394e-231
6.35938, 9.40648e-232
6.375, 2.54702e-232
6.39062, 6.89664e-233
6.40625, 1.86742e-233
6.42188, 5.05648e-234
6.4375, 1.36916e-234
6.45312, 3.70731e-235
6.46875, 1.00384e-235
6.48438, 2.71812e-236
6.5, 7.35994e-237
6.51562, 1.99287e-237
6.53125, 5.39616e-238
6.54688, 1.46113e-238
6.5625, 3.95636e-239
6.57812, 1.07127e-239
6.59375, 2.90072e-240
6.60938, 7.85436e-241
6.625, 2.12675e-241
6.64062, 5.75866e-242
6.65625, 1.55929e-242
6.67188, 4.22213e-243
6.6875, 1.14324e-243
6.70312, 3.09558e-244
6.71875, 8.382e-245
6.73438, 2.26962e-245
6.75, 6.14552e-246
6.76562, 1.66404e-246
6.78125, 4.50577e-247
6.79688, 1.22004e-247
6.8125, 3.30354e-248
6.82812, 8.94509e-249
6.84375, 2.42209e-249
6.85938, 6.55836e-250
6.875, 1.77583e-250
6.89062, 4.80846e-251
6.90625, 1.302e-251
6.92188, 3.52546e-252
6.9375, 9.546e-253
6.95312, 2.5848e-253
6.96875, 6.99893e-254
6.98438, 1.89512e-254
7, 5.13148e-255
7.01562, 1.38946e-255
7.03125, 3.76229e-256
7.04688, 1.01873e-256
7.0625, 2.75844e-257
7.07812, 7.46911e-258
7.09375, 2.02243e-258
7.10938, 5.4762e-259
7.125, 1.48281e-259
7.14062, 4.01504e-260
7.15625, 1.08716e-260
7.17188, 2.94374e-261
7.1875, 7.97086e-262
7.20312, 2.15829e-262
7.21875, 5.84408e-263
7.23438, 1.58242e-263
7.25, 4.28476e-264
7.26562, 1.1602e-264
7.28125, 3.1415e-265
7.29688, 8.50633e-266
7.3125, 2.30328e-266
7.32812, 6.23667e-267
7.34375, 1.68872e-267
7.35938, 4.5726e-268
7.375, 1.23814e-268
7.39062, 3.35254e-269
7.40625, 9.07776e-270
7.42188, 2.45801e-270
7.4375, 6.65563e-271
7.45312, 1.80217e-271
7.46875, 4.87978e-272
7.48438, 1.32131e-272
7.5, 3.57775e-273
7.51562, 9.68759e-274
7.53125, 2.62314e-274
7.54688, 7.10274e-275
7.5625, 1.92323e-275
7.57812, 5.20759e-276
7.59375, 1.41007e-276
7.60938, 3.8181e-277
7.625, 1.03384e-277
7.64062, 2.79935e-278
7.65625, 7.57989e-279
7.67188, 2.05243e-279
7.6875, 5.55742e-280
7.70312, 1.5048e-280
7.71875, 4.07459e-281
7.73438, 1.10329e-281
7.75, 2.98741e-282
7.76562, 8.08909e-283
7.78125, 2.19031e-283
7.79688, 5.93076e-284
7.8125, 1.60589e-284
7.82812, 4.34831e-285
7.84375, 1.17741e-285
7.85938, 3.18809e-286
7.875, 8.6325e-287
7.89062, 2.33745e-287
7.90625, 6.32917e-288
7.92188, 1.71377e-288
7.9375, 4.64042e-289
7.95312, 1.2565e-289
7.96875, 3.40226e-290
7.98438, 9.21241e-291
8, 2.49447e-291
8.01562, 6.75435e-292
8.03125, 1.8289e-292
8.04688, 4.95215e-293
8.0625, 1.34091e-293
8.07812, 3.63082e-294
8.09375, 9.83128e-295
8.10938, 2.66204e-295
8.125, 7.20809e-296
8.14062, 1.95176e-296
8.15625, 5.28483e-297
8.17188, 1.43099e-297
8.1875, 3.87473e-298
8.20312, 1.04917e-298
8.21875, 2.84087e-299
8.23438, 7.69232e-300
8.25, 2.08287e-300
8.26562, 5.63985e-301
8.28125, 1.52712e-301
8.29688, 4.13503e-302
8.3125, 1.11965e-302
8.32812, 3.03172e-303
